file_name,status,num_islands,rows_retained,alert_type,max_gap_before,max_gap_after,clipping_density,features_healed,healing_details,integrity_comment
2026-02-19_BTCUSDT_ob200.data,VALID,1,169805,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-20_BTCUSDT_ob200.data,VALID,1,174944,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-21_BTCUSDT_ob200.data,VALID,1,49462,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-22_BTCUSDT_ob200.data,VALID,1,55215,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-23_BTCUSDT_ob200.data,VALID,1,240269,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-24_BTCUSDT_ob200.data,VALID,1,205048,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-25_BTCUSDT_ob200.data,VALID,1,264342,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-26_BTCUSDT_ob200.data,VALID,1,179764,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-27_BTCUSDT_ob200.data,VALID,1,172647,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-28_BTCUSDT_ob200.data,VALID,1,193588,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-01_BTCUSDT_ob200.data,VALID,1,157215,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-02_BTCUSDT_ob200.data,VALID,1,254725,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-03_BTCUSDT_ob200.data,VALID,1,264075,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-04_BTCUSDT_ob200.data,VALID,1,277993,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-05_BTCUSDT_ob200.data,VALID,1,248688,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-07_BTCUSDT_ob200.data,VALID,1,70224,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-06_BTCUSDT_ob200.data,VALID,1,224201,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-08_BTCUSDT_ob200.data,VALID,1,126390,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-09_BTCUSDT_ob200.data,VALID,1,241876,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-10_BTCUSDT_ob200.data,VALID,1,289938,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-11_BTCUSDT_ob200.data,VALID,1,217666,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-12_BTCUSDT_ob200.data,VALID,1,196824,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-03-13_BTCUSDT_ob200.data,VALID,1,286842,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
