file_name,status,num_islands,rows_retained,alert_type,max_gap_before,max_gap_after,clipping_density,features_healed,healing_details,integrity_comment
2023-03-18_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0868%,,,Passed
2023-03-17_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0579%,,,Passed
2023-03-15_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-03-14_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.1157%,,,Passed
2023-03-19_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.1157%,,,Passed
2023-03-20_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0868%,,,Passed
2023-03-13_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0000%,,,Passed
2023-03-21_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0868%,,,Passed
2023-04-01_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0000%,,,Passed
2023-04-03_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0579%,,,Passed
2023-03-26_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0000%,,,Passed
2023-03-29_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0000%,,,Passed
2023-03-24_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0000%,,,Passed
2023-03-22_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0289%,,,Passed
2023-03-23_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0289%,,,Passed
2023-03-28_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0579%,,,Passed
2023-03-25_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0868%,,,Passed
2023-03-31_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-04-05_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0289%,,,Passed
2023-03-27_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0289%,,,Passed
