timestamp_prediction,symbol,prediction,auditor_score,price_at_prediction,horizon_deadline,price_at_deadline,max_price_reached,min_price_reached,was_correct,pnl_observed_pct
2026-03-12 10:30:00,BTCUSDT,NEUTRAL,0.7730563282966614,70149.14499999999,2026-03-12 10:45:00,70460.005,70138.815,70375.955,,0.32332539477140065
2026-03-12 10:35:00,BTCUSDT,NEUTRAL,0.8599162101745605,70255.995,2026-03-12 10:50:00,70510.995,70192.945,70390.995,,0.1921544204163645
2026-03-12 10:40:00,BTCUSDT,NEUTRAL,0.8617247939109802,70373.60500000001,2026-03-12 10:55:00,70510.995,70275.705,70404.715,,0.04420691536263635
2026-03-12 10:45:00,BTCUSDT,NEUTRAL,0.8434514403343201,70368.495,2026-03-12 11:00:00,70510.995,70275.705,70390.525,,0.0313066237952067
2026-03-12 10:50:00,BTCUSDT,NEUTRAL,0.8690948486328125,70390.995,2026-03-12 11:05:00,70482.625,70275.705,70472.85500000001,,0.11629328438959435
2026-03-12 10:55:00,BTCUSDT,NEUTRAL,0.8745779395103455,70404.715,2026-03-12 11:10:00,70488.785,70367.975,70472.655,,0.09649921883783256
2026-03-12 11:00:00,BTCUSDT,NEUTRAL,0.8627204298973083,70390.525,2026-03-12 11:15:00,70540.17499999999,70367.975,70429.08499999999,,0.05478010002056055
2026-03-12 11:05:00,BTCUSDT,NEUTRAL,0.8664026856422424,70472.85500000001,2026-03-12 11:20:00,70542.995,70367.975,70520.535,,0.0676572561165473
2026-03-12 11:10:00,BTCUSDT,NEUTRAL,0.8664026856422424,70472.655,2026-03-12 11:25:00,70628.765,70398.935,70525.625,,0.07516390577309903
2026-03-12 11:15:00,BTCUSDT,NEUTRAL,0.8603277206420898,70416.375,2026-03-12 11:30:00,70628.765,70385.995,70552.005,,0.19261144868648045
2026-03-12 11:20:00,BTCUSDT,NEUTRAL,0.8664026856422424,70520.535,2026-03-12 11:35:00,70628.765,70385.995,70531.435,,0.015456490793772593
2026-03-12 11:25:00,BTCUSDT,NEUTRAL,0.8477485775947571,70529.82500000001,2026-03-12 11:40:00,70659.985,70385.995,70634.935,,0.1490291518516968
2026-03-12 11:30:00,BTCUSDT,NEUTRAL,0.8620925545692444,70552.005,2026-03-12 11:45:00,70745.725,70481.035,70685.13500000001,,0.1886976847787737
2026-03-12 11:35:00,BTCUSDT,NEUTRAL,0.8308539390563965,70531.435,2026-03-12 11:50:00,70798.375,70525.785,70597.57500000001,,0.09377379036739288
2026-03-12 11:40:00,BTCUSDT,NEUTRAL,0.8327227830886841,70634.935,2026-03-12 11:55:00,70798.375,70409.745,70450.235,,-0.26148534007994356
2026-03-12 11:45:00,BTCUSDT,NEUTRAL,0.8664026856422424,70685.13500000001,2026-03-12 12:00:00,70798.375,70405.455,70456.185,,-0.3239011993115831
2026-03-12 11:50:00,BTCUSDT,NEUTRAL,0.8603277206420898,70623.315,2026-03-12 12:05:00,70623.315,70303.725,70340.535,,-0.4004060132266502
2026-03-12 11:55:00,BTCUSDT,NEUTRAL,0.8160593509674072,70429.08499999999,2026-03-12 12:10:00,70484.505,70277.38500000001,70329.215,,-0.14180221140171756
2026-03-12 12:00:00,BTCUSDT,NEUTRAL,0.8218225836753845,70435.985,2026-03-12 12:15:00,70456.185,70277.38500000001,70366.535,,-0.098600168649586
2026-03-12 12:05:00,BTCUSDT,NEUTRAL,0.8974819779396057,70340.535,2026-03-12 12:20:00,70437.995,70277.38500000001,70386.015,,0.06465688667280668
2026-03-12 12:10:00,BTCUSDT,NEUTRAL,0.899236261844635,70329.215,2026-03-12 12:25:00,70477.565,70312.42499999999,70403.275,,0.10530474426594649
2026-03-12 12:15:00,BTCUSDT,NEUTRAL,0.9114561080932617,70366.535,2026-03-12 12:30:00,70477.565,70326.495,70442.975,,0.10863118384328904
